board_name,title,description,link,image_url,published_at
Matériel & achat,Équipement café maison : setup filtre et espresso,"Quel équipement acheter pour faire du bon café à la maison ? Moulin, balance, V60, machine espresso, bouilloire : les setups utiles par budget.",https://filtre.cafe/guides/equipement-cafe-maison,https://filtre.cafe/pins/equipement-cafe-maison.png,
Méthodes & extraction,Le guide complet des méthodes d’extraction café,"V60, Chemex, French Press, Moka, AeroPress, Espresso, comment chaque méthode transforme le même grain. Guide pratique avec ratios, températures et conseils.",https://filtre.cafe/guides/methodes-extraction,https://filtre.cafe/pins/methodes-extraction.png,
Matériel & achat,Abonnement café avec machine incluse : ça vaut vraiment le coup ?,"Abonnement café avec machine espresso incluse, comment ça marche, ce que ça coûte vraiment, et pour qui c’est une bonne idée. Anom Café Club en test.",https://filtre.cafe/journal/abonnement-cafe-machine-incluse-comparatif,https://filtre.cafe/pins/abonnement-cafe-machine-incluse-comparatif.png,
Matériel & achat,Abonnement café de spécialité : Tanat et Anom testés 6 mois,"Tanat Rarities 90+, Anom Café Club, Belleville, abonnements café spécialité testés 6 mois. Prix réels, formules, fraîcheur du grain.",https://filtre.cafe/journal/abonnement-cafe-specialite,https://filtre.cafe/pins/abonnement-cafe-specialite.png,
Méthodes & extraction,Aeropress : le guide complet pour ne plus rater ses recettes,"15g pour 200ml, eau à 85-95°C, 1 à 2 min, l’AeroPress est la cafetière la plus permissive. Méthode standard, inversée, variables à ajuster.",https://filtre.cafe/journal/aeropress-guide-complet,https://filtre.cafe/pins/aeropress-guide-complet.png,
Origines & terroirs,"Arabica, Robusta : pourquoi l’altitude change tout dans votre tasse","L’arabica serait meilleur que le robusta, vraiment ? Tout commence à l’altitude où pousse la cerise, et ce que ça change vraiment en tasse.",https://filtre.cafe/journal/altitude-arabica-robusta,https://filtre.cafe/pins/altitude-arabica-robusta.png,
Matériel & achat,Anom Café Club : j’ai testé l’abonnement avec machine incluse,"Anom Café Club : abonnement + De’Longhi Specialista Arte. Café Sundrop testé, extraction, verdict. L’offre tient-elle ses promesses ?",https://filtre.cafe/journal/anom-cafe-club-test-abonnement-machine,https://filtre.cafe/pins/anom-cafe-club-test-abonnement-machine.png,
Comprendre le café,Arabica vs robusta : la vraie différence,"Caféine, acidité, corps, prix, la vraie différence entre arabica et robusta, pourquoi ’100% arabica’ n’est pas toujours un gage de qualité.",https://filtre.cafe/journal/arabica-vs-robusta,https://filtre.cafe/pins/arabica-vs-robusta.png,
Adresses & voyages,"Café au Japon : kissaten, specialty et troisième vague","Tokyo, Kyoto, kissaten des années 1960, Hario et Kalita made in Japan, Onibus, Glitch, Koffee Mameya. Rituels, histoire et adresses du café japonais.",https://filtre.cafe/journal/cafe-au-japon,https://filtre.cafe/pins/cafe-au-japon.png,
Adresses & voyages,Le café au Vietnam : entre robusta mondial et specialty émergent,"2e producteur mondial à 95% en robusta, mais une scène specialty émerge à Da Lat et Hanoï. Phin, cà phê trứng et la révolution artisanale.",https://filtre.cafe/journal/cafe-au-vietnam,https://filtre.cafe/pins/cafe-au-vietnam.png,
Adresses & voyages,"Le café aux épices de Fès : une recette de famille, dix mille façons","Au Maroc, le café aux épices ne se commande pas, il se reçoit. Gingembre, cannelle, cardamome : la recette de Fès et ses variations familiales marocaines.",https://filtre.cafe/journal/cafe-aux-epices-fes,https://filtre.cafe/pins/cafe-aux-epices-fes.png,
Comprendre le café,Café bio et café de spécialité : compatibles ou contradictoires ?,"Bio ne veut pas dire bon, et specialty ne veut pas dire chimique. Labels, certifications et torréfacteurs bio en France : ce qui compte dans la tasse.",https://filtre.cafe/journal/cafe-bio-specialite-france,https://filtre.cafe/pins/cafe-bio-specialite-france.png,
Origines & terroirs,Café du Brésil : au-delà des idées reçues,"Yellow Bourbon, Cerrado Mineiro, 40% du café mondial. Les naturels brésiliens chocolatés dépassent largement leur réputation de café standard.",https://filtre.cafe/journal/cafe-bresil-specialite,https://filtre.cafe/pins/cafe-bresil-specialite.png,
Origines & terroirs,Café brésilien pour espresso : pourquoi le Cerrado Mineiro s’impose,"Arabica brésilien du Cerrado Mineiro pour espresso, altitude, process, profil de tasse, pourquoi c’est l’origine de base de presque tous les bons blends.",https://filtre.cafe/journal/cafe-bresilien-espresso-cerrado-mineiro,https://filtre.cafe/pins/cafe-bresilien-espresso-cerrado-mineiro.png,
Matériel & achat,Capsules de café de spécialité : les meilleures alternatives à Nespresso,"Araku, Terres de Café, Café Liégeois, les meilleures capsules compatibles Nespresso avec de vrais cafés de spécialité traçables.",https://filtre.cafe/journal/cafe-capsules-specialite,https://filtre.cafe/pins/cafe-capsules-specialite.png,
Origines & terroirs,"Café de Colombie : origines, régions et ce qu’on ne vous dit pas","Huila, Nariño, Cauca, Pink Bourbon, Caturra, Tabi. Ce que produisent vraiment les régions et variétés colombiennes, et comment choisir son café.",https://filtre.cafe/journal/cafe-colombie-specialite,https://filtre.cafe/pins/cafe-colombie-specialite.png,
Recettes & boissons,"Cortado : espresso et lait à parts égales, recette et différence flat white","Espresso 30 ml, lait chaud 30 ml, ratio 1:1 sans mousse. Différence avec le flat white et le macchiato, et la recette de ce café à la maison.",https://filtre.cafe/journal/cafe-cortado-recette-guide,https://filtre.cafe/pins/cafe-cortado-recette-guide.png,
Matériel & achat,"Café décaféiné : Swiss Water, CO2 et bonnes adresses","Swiss Water, CO2 supercritique, solvant, tout ce qu’il faut savoir pour choisir un bon décaféiné de spécialité et où en trouver en France.",https://filtre.cafe/journal/cafe-decafeine-specialite,https://filtre.cafe/pins/cafe-decafeine-specialite.png,
Adresses & voyages,Le café en Corée du Sud : Seoul et la troisième vague,"La Corée boit plus d’americano que tout autre pays. Fritz, Namusairo, Momos, une scène specialty à Séoul parmi les plus avancées d’Asie.",https://filtre.cafe/journal/cafe-en-coree,https://filtre.cafe/pins/cafe-en-coree.png,
Comprendre le café,Café en grains ou moulu : ce que vous perdez vraiment,"Un café moulu perd une grande partie de ses arômes en quelques minutes. Explication chimique, cas du sous-vide, et seuil d’entrée pour un moulin décent.",https://filtre.cafe/journal/cafe-en-grains-ou-moulu,https://filtre.cafe/pins/cafe-en-grains-ou-moulu.png,
Adresses & voyages,Le café en Thaïlande : Doi Chang et l’arabica des montagnes,"Doi Chang, arabica de montagne et troisième vague émergente. Histoire, producteurs Hill Tribe et adresses à Chiang Mai et Bangkok.",https://filtre.cafe/journal/cafe-en-thailande,https://filtre.cafe/pins/cafe-en-thailande.png,
Origines & terroirs,"Café éthiopien : Yirgacheffe, Sidama, Guji, les différences concrètes","Yirgacheffe, Sidama, Guji : trois régions éthiopiennes, trois profils en tasse très différents. Guide concret pour s’y repérer.",https://filtre.cafe/journal/cafe-ethiopien-yirgacheffe-sidama-guji,https://filtre.cafe/pins/cafe-ethiopien-yirgacheffe-sidama-guji.png,
Origines & terroirs,"Café geisha / gesha : profil, prix et origines","Originaire d’Éthiopie, consacrée à Hacienda La Esmeralda au Panama, le geisha atteint 1 000€/kg aux enchères. Profil jasmin, pêche blanche, bergamote.",https://filtre.cafe/journal/cafe-geisha-gesha-guide,https://filtre.cafe/pins/cafe-geisha-gesha-guide.png,
Recettes & boissons,Café glacé maison : la vraie recette (flash brew),"La vraie recette du café glacé maison : le flash brew, extraire directement sur la glace. Pourquoi laisser refroidir un café chaud le rend fade, et le bon ratio café/glace.",https://filtre.cafe/journal/cafe-glace-maison,https://filtre.cafe/pins/cafe-glace-maison.png,
Origines & terroirs,"Café du Guatemala : Antigua, Huehuetenango, 8 régions","Antigua, Huehuetenango, Acatenango, les 8 régions officielles du café guatémaltèque, leurs altitudes, leurs profils et ce qu’on trouve vraiment en tasse.",https://filtre.cafe/journal/cafe-guatemala-specialite,https://filtre.cafe/pins/cafe-guatemala-specialite.png,
Origines & terroirs,"Café d’Indonésie : Sumatra, Java, Bali et ce que le giling basah change à la tasse","Gayo, Mandheling, Toraja, Kintamani, le giling basah et les régions indonésiennes pour choisir un café de spécialité qui sort du lot.",https://filtre.cafe/journal/cafe-indonesie-specialite,https://filtre.cafe/pins/cafe-indonesie-specialite.png,
Origines & terroirs,"Le café du Kenya : acidité, terroir et les raisons d’un prix élevé","Nyeri, SL28, double fermentation, grade AA, tout ce qu’il faut savoir sur le café kenyan de spécialité et pourquoi il mérite son prix.",https://filtre.cafe/journal/cafe-kenya-guide,https://filtre.cafe/pins/cafe-kenya-guide.png,
Recettes & boissons,Café noisette : recette et ratio lait/expresso,"Qu’est-ce qu’un café noisette ? La recette exacte, le bon ratio lait/expresso, pourquoi c’est si difficile à réussir à la maison, et comment y remédier.",https://filtre.cafe/journal/cafe-noisette-recette-guide,https://filtre.cafe/pins/cafe-noisette-recette-guide.png,
Comprendre le café,"Café et forte chaleur : faut-il l’éviter, et quoi boire","Le café déshydrate-t-il quand il fait chaud ? La réponse honnête, et surtout quoi boire à la place : cold brew, café glacé, frappé. Le guide café des journées de canicule.",https://filtre.cafe/journal/cafe-quand-il-fait-chaud,https://filtre.cafe/pins/cafe-quand-il-fait-chaud.png,
Matériel & achat,Café soluble vs café en grain : les vraies différences,"Goût, prix, santé, praticité, ce que le café instantané ne dit pas sur l’étiquette, et quand le grain vaut vraiment le détour.",https://filtre.cafe/journal/cafe-soluble-vs-grain,https://filtre.cafe/pins/cafe-soluble-vs-grain.png,
Comprendre le café,Café de spécialité en France : état des lieux 2026,"Paris, Lyon, Bordeaux, Strasbourg, où en est la scène française du café de spécialité en 2026 ? Villes, torréfacteurs, tendances et acteurs à suivre.",https://filtre.cafe/journal/cafe-specialite-france-2024,https://filtre.cafe/pins/cafe-specialite-france-2024.png,
Comprendre le café,Café de spécialité en France : état des lieux 2026,"Paris, Lyon, Bordeaux, Strasbourg, où en est la scène française du café de spécialité en 2026 ? Villes, torréfacteurs, tendances et acteurs à suivre.",https://filtre.cafe/journal/cafe-specialite-france,https://filtre.cafe/pins/cafe-specialite-france.png,
Comprendre le café,Café de supermarché vs spécialité : ce qu’on perd vraiment,"Pourquoi le café de supermarché ne rivalise pas avec le spécialité, sans snobisme. Ce que vous payez, ce que ça change concrètement.",https://filtre.cafe/journal/cafe-supermarche-vs-specialite,https://filtre.cafe/pins/cafe-supermarche-vs-specialite.png,
Recettes & boissons,"Café turc : recette au cezve, ratios et étapes","Comment faire un café turc authentique ? Mouture très fine, cezve, sans laisser bouillir, la recette exacte avec dosage, temps et histoire ottomane.",https://filtre.cafe/journal/cafe-turc-recette-guide,https://filtre.cafe/pins/cafe-turc-recette-guide.png,
Recettes & boissons,Cà phê sữa đá : recette café vietnamien glacé au phin et lait concentré,"15 g de robusta, lait concentré Longevity, phin sur le verre, la recette exacte du cà phê sữa đá, version glacée qu’on boit à Hanoï.",https://filtre.cafe/journal/cafe-vietnamien-recette-ca-phe-sua-da,https://filtre.cafe/pins/cafe-vietnamien-recette-ca-phe-sua-da.png,
Comprendre le café,Caféine et santé : ce que la science dit vraiment,"400mg par jour, demi-vie de 6h, effets sur le sommeil et la performance, tout ce que la science sait sur la caféine, sans alarmisme ni surenchère.",https://filtre.cafe/journal/cafeine-effets-sante,https://filtre.cafe/pins/cafeine-effets-sante.png,
Matériel & achat,Cafetière à piston : quelle marque choisir en 2026 ?,"Bodum Chambord, Espro P6, Fellow Clara, filtration double, verre borosilicate, infusion 4 min. Ce qui change vraiment d’un modèle à l’autre selon l’usage.",https://filtre.cafe/journal/cafetiere-a-piston-quelle-marque,https://filtre.cafe/pins/cafetiere-a-piston-quelle-marque.png,
Recettes & boissons,"Faire un cappuccino maison : recette, ratio et erreurs à éviter","Espresso 1/3, lait 1/3, mousse 1/3, le vrai ratio. Température, texture, erreurs classiques : la méthode barista à la maison.",https://filtre.cafe/journal/cappuccino-recette-maison-guide,https://filtre.cafe/pins/cappuccino-recette-maison-guide.png,
Comprendre le café,Café Lion’s Mane : ce que dit vraiment la science,"Café aux champignons : Lion’s Mane, reishi, chaga. Bienfaits réels, dosages, ce que disent les études, et pourquoi ces boissons dénigrent le café.",https://filtre.cafe/journal/champignon-lion-mane-cafe,https://filtre.cafe/pins/champignon-lion-mane-cafe.png,
Méthodes & extraction,"Chemex, V60 ou Aeropress : laquelle choisir ?","Chemex, V60, Aeropress, trois cafetières filtre aux résultats radicalement différents. Notre verdict tranché pour choisir sans se tromper.",https://filtre.cafe/journal/chemex-v60-aeropress,https://filtre.cafe/pins/chemex-v60-aeropress.png,
